Giochi;Console;Anno_Uscita;Pubblicatore;Anno_Di_Gioco;Voto_Personale;Voto_Critica;Vendite_Globali
Tom Clancy's Rainbow Six Siege;PS4;2015;Ubisoft;2015;7,5;7;10025
Mirror's Edge Catalyst;PS4;2016;Ubisoft;2016;8,3;8;690
Dying Light;PS4;2015;Warner Bros. Interactive Entertainment;2016;9;8,5;20128
Battlefield 1;PS4;2016;Electronic Arts;2016;8,1;9;21000
Tomb Raider Definitive Edition;PS4;2014;Square Enix;2015;8;8,5;11000
Rocket League;PC;2015;Psyonix;2019;7;8;10500
Undertale;PC;2015;Toby Fox;2019;10;9;3612
Hollow Knight;PC;2017;Team Cherry;2021;10;8,5;2800
Omori;PC;2020;OMOCAT;2024;10;9;1117
Yakuza 0;PC;2015;SEGA;2021;9,2;8,8;500
Yakuza Kiwami;PC;2017;SEGA;2024;8,9;9;580
Dark Souls: Remastered;PC;2018;FromSoftware;2023;9,7;7,5;3388
Dark Souls 2 Scholar of the First Sin;PC;2014;FromSoftware;2023;8;8;5759
Dark Souls 3;PC;2016;FromSoftware;2024;9,8;9;10460
Valorant;PC;2020;RIOT Games;2022;8;8,5;17100
League of Legends;PC;2009;RIOT Games;2020;7,3;9;180000
Watch Dogs 2;PC;2016;Ubisoft;2021;7,7;8;10027
Destiny 2;PC;2017;Bungie;2019;8,9;8,8;6650
Osu!;PC;2007;FreeWare;2019;7;8,5;18202
SnowRunner;PC;2020;Focus Home Interactive;2023;8;8,4;1000
Farming Simulator 2019;PC;2018;Focus Home Interactive;2021;7;8;2000
Satisfactory;PC;2019;Coffee Stain Studios;2024;7,8;9;1326
Spore;PC;2008;Electronic Arts;2024;9;7,5;1160
Forza Horizon 5;PC;2021;Xbox Game Studios;2021;9,5;9,5;20000
F1 2019;PC;2019;Electronic Arts;2021;7,9;8;239
Astral Party;PC;2024;Neverland Entertainment;2024;6,4;6;272
World of Tanks;PC;2014;Wargaming.net;2021;7;8,5;2300
WarThunder;PC;2012;Gaijin Entertainment;2020;7,9;8,5;24500
NieR Automata;PC;2017;Square Enix;2024;10;9;8071
Overwatch 2;PC;2022;Activision Blizzard;2022;7,5;7;35000
Apex Legends;PC;2019;Electronic Arts;2020;7,2;8,7;24700
The Vanishing of Ethan Carter;PC;2014;The Astronauts;2021;7,8;8,5;1127
Fall Guys;PC;2020;Epic Games;2021;6;8,2;11059
Doki Doki Literature Club;PC;2017;Team Salvato;2020;9,5;9;500
Rage 2;PC;2019;Bethesda Softworks;2021;7;7,5;464
TrackMania;PC;2020;Ubisoft;2021;6,7;8,2;802
Valheim;PC;2021;Coffee Stain Studios;2023;7,3;7,1;10000
Genshin Impact;PC;2020;Hoyoverse;2020;8;8;3360
Punishing Gray Raven;PC;2019;Kuro Game;2022;7,7;8,6;3000
